id,state,location,guests,beds,property_type,n_reviews,rating,price
BF1406,Illinois,"Avondale, Chicago.",2,1,Apartment,55.0,96.0,48
DB7921,MASSACHUSETTS,"South End, Boston.",4,1,Apartment,0.0,,115
OZ5857,ILLINOIS,"Avondale, Chicago.",4,3,Apartment,51.0,99.0,150
HY8797,california,"SoMa, San Francisco.",2,1,Apartment,4.0,74.0,125
VN7858,massachusetts,"West Roxbury, Boston.",2,1,House,23.0,86.0,64
PP4626,California,"Western Addition/NOPA, San Francisco.",2,1,Apartment,211.0,92.0,129
LN3479,California,"East Hollywood, Los Angeles.",2,2,Apartment,15.0,95.0,88
JO6059,Massachusetts,"Fenway/Kenmore, Boston.",2,2,Apartment,15.0,96.0,158
GU6250,CALIFORNIA,"Mission District, San Francisco.",2,1,Apartment,1.0,100.0,139
QR1343,California,"Cahuenga Pass, Los Angeles.",2,1,House,25.0,96.0,125
FU1529,CALIFORNIA,"Mission District, San Francisco.",4,2,Apartment,3.0,79.0,100
CR6461,Illinois,"South Loop/Printers Row, Chicago.",4,2,Apartment,6.0,87.0,149
YC3932,illinois,"West Loop/Greektown, Chicago.",2,1,Apartment,6.0,100.0,125
HB7516,Illinois,"Little Italy/UIC, Chicago.",1,1,Apartment,56.0,91.0,14
MY4058,massachusetts,"South Boston, Boston.",2,1,Apartment,4.0,100.0,199
MP5849,MASSACHUSETTS,"Allston-Brighton, Boston.",4,2,Dorm,15.0,90.0,45
ZE6530,California,"Mid-Wilshire, Los Angeles.",8,4,Apartment,71.0,89.0,190
KS2506,california,"Hollywood, Los Angeles.",6,4,Apartment,59.0,99.0,192
ZN5183,California,"Bel Air/Beverly Crest, Los Angeles.",6,4,Loft,44.0,93.0,149
KE2237,MASSACHUSETTS,"South Boston, Boston.",11,8,Apartment,2.0,99.0,150
BV5351,california,"Silver Lake, Los Angeles.",2,1,Apartment,16.0,95.0,100
QP7214,california,"Mid-Wilshire, Los Angeles.",3,1,Apartment,12.0,96.0,133
CO2790,california,"Westchester/Playa Del Rey, Los Angeles.",6,3,Apartment,18.0,99.0,194
UH4994,CALIFORNIA,"Manhattan Beach, Los Angeles.",2,1,Apartment,2.0,98.0,119
GW5946,California,"West Hollywood, Los Angeles.",2,1,Apartment,78.0,96.0,119
PB4316,CALIFORNIA,"Cow Hollow, San Francisco.",6,3,Apartment,56.0,87.0,109
GR2732,California,"Marina Del Rey, Los Angeles.",3,2,Apartment,16.0,94.0,139
NB3754,illinois,"Bucktown, Chicago.",3,2,Apartment,5.0,100.0,110
XD7723,Massachusetts,"Jamaica Plain, Boston.",3,2,House,138.0,95.0,144
LI4710,Illinois,"Logan Square, Chicago.",2,1,Apartment,27.0,95.0,74
PZ7489,california,"Hollywood, Los Angeles.",3,1,Apartment,9.0,92.0,100
OD8936,california,"Del Rey, Los Angeles.",1,1,House,163.0,96.0,79
TM8328,california,"Woodland Hills/Warner Center, Los Angeles.",2,1,House,37.0,94.0,59
BT8735,CALIFORNIA,"The Castro, San Francisco.",8,4,Apartment,75.0,92.0,198
LO1225,California,"Monterey Hills, Los Angeles.",1,1,Apartment,57.0,99.0,95
RE2319,California,"Marina Del Rey, Los Angeles.",2,2,Boat,76.0,91.0,138
XS1530,CALIFORNIA,"Inglewood, Los Angeles.",4,2,House,2.0,80.0,100
BF2157,MASSACHUSETTS,"South Boston, Boston.",2,1,Condominium,19.0,99.0,108
EK9422,Massachusetts,"South Boston, Boston.",2,1,Apartment,19.0,98.0,186
II2045,Massachusetts,"Dorchester, Boston.",1,1,House,1.0,100.0,104
LM7744,california,"Highland Park, Los Angeles.",4,3,House,2.0,90.0,190
WK4519,MASSACHUSETTS,"Charlestown, Boston.",3,2,Condominium,7.0,89.0,149
JD6514,Illinois,"Lakeview, Chicago.",4,1,Apartment,6.0,97.0,100
IT4655,California,"Westlake, Los Angeles.",2,8,Hostel,27.0,89.0,14
JE7685,Massachusetts,"Allston-Brighton, Boston.",2,1,Apartment,11.0,92.0,81
EJ4370,CALIFORNIA,"Gardena, Los Angeles.",4,3,Apartment,56.0,94.0,100
BK9521,California,"SoMa, San Francisco.",1,1,Apartment,1.0,100.0,100
HV4772,Illinois,"Boystown, Chicago.",2,1,Apartment,46.0,95.0,51
TX1098,california,"Boyle Heights, Los Angeles.",4,2,House,3.0,99.0,109
OO8811,Massachusetts,"South Boston, Boston.",3,1,Condominium,28.0,88.0,199
AD3737,California,"West Los Angeles, Los Angeles.",3,1,Apartment,1.0,99.0,76
CM1969,california,"Cahuenga Pass, Los Angeles.",4,1,Bungalow,8.0,100.0,149
RE1634,Massachusetts,"Beacon Hill, Boston.",6,3,Apartment,18.0,100.0,175
HI6080,Massachusetts,"South End, Boston.",2,1,Apartment,14.0,95.0,125
WW9801,california,"Haight-Ashbury, San Francisco.",2,1,Condominium,4.0,94.0,108
ZD8903,massachusetts,"South End, Boston.",2,1,Townhouse,58.0,96.0,150
XN5680,California,"Pacific Palisades, Los Angeles.",2,1,House,13.0,99.0,100
MS9589,CALIFORNIA,"Highland Park, Los Angeles.",2,1,Apartment,1.0,97.0,55
MN6641,Massachusetts,"Allston-Brighton, Boston.",1,1,House,32.0,96.0,64
XQ3633,California,"Silver Lake, Los Angeles.",2,1,Apartment,65.0,93.0,119
EN3555,California,"Hollywood, Los Angeles.",3,1,Apartment,159.0,94.0,125
VL1835,California,"South LA, Los Angeles.",4,2,Apartment,36.0,86.0,85
EO5829,Massachusetts,"Theater District, Boston.",3,1,Apartment,55.0,97.0,102
BM7841,Illinois,"Wicker Park, Chicago.",2,1,Apartment,84.0,99.0,125
MW5232,California,"Torrance, Los Angeles.",1,1,Apartment,2.0,100.0,128
