title,genre,release,runtime,score,language
Dark Forces,Thriller,2020-08-21,81,2.6,Spanish
Leyla Everlasting,Comedy,2020-12-04,112,3.7,Turkish
Sardar Ka Grandson,Comedy,2021-05-18,139,4.1,Hindi
Searching for Sheela,Documentary,2021-04-22,58,4.1,English
The Call,Drama,2020-11-27,112,4.1,Korean
Whipped,Romantic comedy,2020-09-18,97,4.1,Indonesian
After the Raid,Documentary,2019-12-19,25,4.3,Spanish
What Happened to Mr. Cha?,Comedy,2021-01-01,102,4.3,Korean
"Hello Privilege. It's Me, Chelsea",Documentary,2019-09-13,64,4.4,English
Secret Obsession,Thriller,2019-07-18,97,4.4,English
Sextuplets,Comedy,2019-08-16,99,4.4,English
The Girl on the Train,Thriller,2021-02-26,120,4.4,Hindi
Fatal Affair,Thriller,2020-07-16,89,4.5,English
Just Say Yes,Romantic comedy,2021-04-02,97,4.5,Dutch
Seriously Single,Comedy,2020-07-31,107,4.5,English
The Misadventures of Hedi and Cokeman,Comedy,2021-02-10,99,4.5,French
Porta dos Fundos: The First Temptation of Christ,Comedy,2019-12-03,46,4.6,Portuguese
The Players,Comedy,2020-07-15,88,4.6,Italian
We Are One,Documentary,2020-07-14,86,4.6,French
Finding Agnes,Drama,2020-11-30,105,4.7,Filipino
The Binding,Drama,2020-10-02,93,4.7,Italian
Christmas Crossfire,Thriller,2020-12-04,106,4.8,German
Mrs. Serial Killer,Thriller,2020-05-01,106,4.8,Hindi
The Main Event,Comedy,2020-04-10,101,4.8,English
The Day of the Lord,Drama,2020-10-30,93,4.9,Spanish
Airplane Mode,Comedy,2020-01-23,96,5.0,Portuguese
Love Like the Falling Rain,Drama,2020-10-15,86,5.0,Indonesian
Squared Love,Romantic comedy,2021-02-11,102,5.0,Polish
Desperados,Romantic comedy,2020-07-03,106,5.2,English
Firebrand,Drama,2019-02-22,112,5.2,Marathi
Hubie Halloween,Comedy,2020-10-07,103,5.2,English
"Strip Down, Rise Up",Documentary,2021-02-05,112,5.2,English
The Beast,Drama,2020-11-27,99,5.2,Italian
Back to School,Comedy,2019-08-30,83,5.3,French
Dangerous Lies,Thriller,2020-04-30,97,5.3,English
Gunjan Saxena: The Kargil Girl,Drama,2020-08-12,112,5.3,Hindi
Intuition,Thriller,2020-05-28,116,5.3,Spanish
Who Would You Take to a Deserted Island?,Drama,2019-04-12,93,5.3,Spanish
A Babysitter's Guide to Monster Hunting,Comedy,2020-10-15,98,5.4,English
A Christmas Prince: The Royal Baby,Romantic comedy,2019-12-05,85,5.4,English
Despite Everything,Comedy,2019-05-03,78,5.4,Spanish
Dolly Kitty and Those Twinkling Stars,Drama,2020-09-18,120,5.4,Hindi
Guilty,Thriller,2020-03-06,119,5.4,Hindi
Madame Claude,Drama,2021-04-02,112,5.4,French
The Princess Switch: Switched Again,Romantic comedy,2020-11-19,97,5.4,English
Dead Kids,Thriller,2019-12-01,94,5.5,Filipino
Get the Grift,Comedy,2021-04-28,94,5.5,Portuguese
House Arrest,Comedy,2019-11-15,104,5.5,Hindi
Love Wedding Repeat,Romantic comedy,2020-04-10,100,5.5,English
Red Dot,Thriller,2021-02-11,86,5.5,Swedish
Ride or Die,Thriller,2021-04-15,142,5.5,Japanese
The Knight Before Christmas,Romantic comedy,2019-11-21,92,5.5,English
Unicorn Store,Comedy,2019-04-05,92,5.5,English
Wine Country,Comedy,2019-05-10,103,5.5,English
Falling Inn Love,Romantic comedy,2019-08-29,97,5.6,English
"Love, Guaranteed",Romantic comedy,2020-09-03,91,5.6,English
The Paramedic,Thriller,2020-09-16,94,5.6,Spanish
The Sleepover,Comedy,2020-08-21,103,5.6,English
Why Did You Kill Me?,Documentary,2021-04-14,83,5.6,English
Ginny Weds Sunny,Romantic comedy,2020-10-09,125,5.7,Hindi
Good Sam,Drama,2019-05-16,89,5.7,English
Lionheart,Comedy,2019-01-04,94,5.7,English
One Take,Documentary,2020-06-18,85,5.7,Thai
Prime Time,Thriller,2021-04-14,91,5.7,Polish
The Wrong Missy,Comedy,2020-05-13,90,5.7,English
Velvet Buzzsaw,Thriller,2019-02-01,112,5.7,English
Yes Day,Comedy,2021-03-12,86,5.7,English
A California Christmas,Romantic comedy,2020-12-14,107,5.8,English
All Day and a Night,Drama,2020-05-01,121,5.8,English
American Son,Drama,2019-11-01,90,5.8,English
Choked: Paisa Bolta Hai,Drama,2020-06-05,114,5.8,Hindi
Class of '83,Drama,2020-08-21,98,5.8,Hindi
I Am All Girls,Thriller,2021-05-14,107,5.8,English
Let It Snow,Romantic comedy,2019-11-08,92,5.8,English
Operation Christmas Drop,Romantic comedy,2020-11-05,96,5.8,English
Rich in Love,Romantic comedy,2020-04-30,105,5.8,Portuguese
The Babysitter: Killer Queen,Comedy,2020-09-10,102,5.8,English
The Kissing Booth 2,Romantic comedy,2020-07-24,131,5.8,English
The Perfect Date,Romantic comedy,2019-04-12,89,5.8,English
What We Wanted,Drama,2020-11-11,93,5.8,German
You've Got This,Romantic comedy,2020-10-02,111,5.8,Spanish
A Fall from Grace,Thriller,2020-01-17,120,5.9,English
Horse Girl,Drama,2020-02-07,104,5.9,English
Maska,Romantic comedy,2020-03-27,111,5.9,Hindi
The Decline,Thriller,2020-03-27,83,5.9,French
The Minimalists: Less Is Now,Documentary,2021-01-01,53,5.9,English
Lovefucked,Drama,2019-08-09,106,6.0,Hindi
Juanita,Drama,2019-03-08,90,6.0,English
To All the Boys: P.S. I Still Love You,Romantic comedy,2020-02-12,102,6.0,English
Between Two Ferns: The Movie,Comedy,2019-09-20,82,6.1,English
Holidate,Romantic comedy,2020-10-28,104,6.1,English
Otherhood,Comedy,2019-08-02,100,6.1,English
Stuck Apart,Drama,2021-01-08,96,6.1,Turkish
Tersanjung the Movie,Drama,2021-04-01,114,6.1,Indonesian
The Lovebirds,Romantic comedy,2020-05-22,87,6.1,English
The Perfection,Thriller,2019-05-24,90,6.1,English
Tribhanga  Tedhi Medhi Crazy,Drama,2021-01-15,95,6.1,Hindi
Unknown Origins,Thriller,2020-08-28,96,6.1,Spanish
Below Zero,Drama,2021-01-29,106,6.2,Spanish
Citation,Drama,2020-11-06,151,6.2,English
Have You Ever Seen Fireflies?,Comedy,2021-04-09,114,6.2,Turkish
In the Shadow of the Moon,Thriller,2019-09-27,115,6.2,English
Lost Bullet,Thriller,2020-06-19,92,6.2,French
Offering to the Storm,Thriller,2020-07-24,139,6.2,Spanish
Someone Great,Romantic comedy,2019-04-19,92,6.2,English
Concrete Cowboy,Drama,2021-04-02,111,6.3,English
Get the Goat,Comedy,2021-03-18,97,6.3,Portuguese
June & Kopi,Drama,2021-01-28,90,6.3,Indonesian
Music Teacher,Drama,2019-04-19,101,6.3,Hindi
Nail Bomber: Manhunt,Documentary,2021-05-26,72,6.3,English
Notes for My Son,Drama,2020-11-24,83,6.3,Spanish
The Forest of Love,Drama,2019-10-11,151,6.3,Japanese
The Legend of Cocaine Island,Documentary,2019-03-29,87,6.3,English
Time to Hunt,Thriller,2020-04-23,134,6.3,Korean
To All the Boys: Always and Forever,Romantic comedy,2021-02-12,109,6.3,English
Travis Scott: Look Mom I Can Fly,Documentary,2019-08-28,85,6.3,English
Uncorked,Drama,2020-03-27,103,6.3,English
Anelka: Misunderstood,Documentary,2020-08-05,94,6.4,French
Fractured,Thriller,2019-10-11,100,6.4,English
Isi & Ossi,Romantic comedy,2020-02-14,113,6.4,German
John Was Trying to Contact Aliens,Documentary,2020-08-20,16,6.4,English
Murder to Mercy: The Cyntoia Brown Story,Documentary,2020-04-29,97,6.4,English
Street Flow,Drama,2019-10-12,96,6.4,French
The Occupant,Thriller,2020-03-25,103,6.4,Spanish
Walk. Ride. Rodeo.,Drama,2019-03-08,99,6.4,English
All Together Now,Drama,2020-08-28,93,6.5,English
Antoine Griezmann: The Making of a Legend,Documentary,2019-03-21,60,6.5,French
Chadwick Boseman: Portrait of an Artist,Documentary,2021-04-17,21,6.5,English
Chopsticks,Comedy,2019-05-31,100,6.5,Hindi
Dolly Parton: A MusiCares Tribute,Documentary,2021-04-07,55,6.5,English
His House,Thriller,2020-10-30,93,6.5,English
Monster,Drama,2021-05-07,98,6.5,English
Nobody Knows I'm Here,Drama,2020-06-24,91,6.5,Spanish
Oxygen,Thriller,2021-05-12,101,6.5,French
What Did Jack Do?,Drama,2020-01-20,17,6.5,English
Crazy About Her,Romantic comedy,2021-02-26,102,6.6,Spanish
It Takes a Lunatic,Documentary,2019-10-25,126,6.6,English
Milestone,Drama,2021-05-07,98,6.6,Hindi
Shawn Mendes: In Wonder,Documentary,2020-11-23,83,6.6,English
The Red Sea Diving Resort,Thriller,2019-07-31,130,6.6,English
What Would Sophia Loren Do?,Documentary,2021-01-15,32,6.6,English
Ajeeb Daastaans,Drama,2021-04-16,142,6.7,Hindi
"Bikram: Yogi, Guru, Predator",Documentary,2019-11-20,86,6.7,English
Blue Miracle,Drama,2021-05-27,95,6.7,English
"Crack: Cocaine, Corruption & Conspiracy",Documentary,2021-01-11,89,6.7,English
Giving Voice,Documentary,2020-12-11,90,6.7,English
Hillbilly Elegy,Drama,2020-11-24,117,6.7,English
Just Another Christmas,Comedy,2020-12-03,101,6.7,Portuguese
Little Miss Sumo,Documentary,2019-10-28,19,6.7,Japanese
Moxie,Drama,2021-03-03,111,6.7,English
Night in Paradise,Drama,2021-04-09,132,6.7,Korean
Paper Lives,Drama,2021-03-12,97,6.7,Turkish
Parchis: The Documentary,Documentary,2019-07-10,106,6.7,Spanish
Upstarts,Drama,2019-10-18,112,6.7,Hindi
A Life of Speed: The Juan Manuel Fangio Story,Documentary,2020-03-20,92,6.8,Spanish
A Love Song for Latasha,Documentary,2020-09-21,19,6.8,English
Always Be My Maybe,Romantic comedy,2019-05-31,102,6.8,English
Becoming,Documentary,2020-05-06,89,6.8,English
Death to 2020,Comedy,2020-12-27,70,6.8,English
GIMS: On the Record,Documentary,2020-09-17,96,6.8,French
Have a Good Trip: Adventures in Psychedelics,Documentary,2020-05-11,85,6.8,English
Serious Men,Drama,2020-10-02,114,6.8,Hindi
The Boys in the Band,Drama,2020-09-30,121,6.8,English
The Life Ahead,Drama,2020-11-13,95,6.8,Italian
Tony Parker: The Final Shot,Documentary,2021-01-06,98,6.8,French
AK vs AK,Thriller,2020-12-24,108,6.9,Hindi
Bigflo & Oil: Hip Hop Frenzy,Documentary,2020-10-08,100,6.9,French
Biggie: I Got a Story to Tell,Documentary,2021-03-01,97,6.9,English
Spelling the Dream,Documentary,2020-06-03,83,6.9,English
The Claudia Kishi Club,Documentary,2020-07-10,17,6.9,English
The Lonely Island Presents: The Unauthorized Bash Brothers Experience,Comedy,2019-05-23,30,6.9,English
"Lorena, Light-Footed Woman",Documentary,2019-11-20,28,7.0,Spanish
Los Tigres del Norte at Folsom Prison,Documentary,2019-09-15,64,7.0,Spanish
Ma Rainey's Black Bottom,Drama,2020-12-18,94,7.0,English
Operation Varsity Blues: The College Admissions Scandal,Documentary,2021-03-17,99,7.0,English
Pele,Documentary,2021-02-23,108,7.0,English
ReMastered: Devil at the Crossroads,Documentary,2019-04-26,48,7.0,English
ReMastered: The Lion's Share,Documentary,2019-05-17,84,7.0,English
ReMastered: The Miami Showband Massacre,Documentary,2019-03-22,70,7.0,English
Rose Island,Comedy,2020-12-09,117,7.0,Italian
Beats,Drama,2019-06-19,110,7.1,English
Circus of Books,Documentary,2020-04-22,92,7.1,English
Dance Dreams: Hot Chocolate Nutcracker,Documentary,2020-11-27,80,7.1,English
El Pepe: A Supreme Life,Documentary,2019-12-27,73,7.1,Spanish
Evelyn,Documentary,2019-09-10,96,7.1,English
Grass Is Greener,Documentary,2019-04-20,97,7.1,English
Guillermo Vilas: Settling the Score,Documentary,2020-10-27,94,7.1,Spanish
Knock Down the House,Documentary,2019-05-01,87,7.1,English
Pieces of a Woman,Drama,2021-01-07,126,7.1,English
Rooting for Roona,Documentary,2020-10-15,41,7.1,Bengali
The Dig,Drama,2021-01-29,112,7.1,English
The Great Hack,Documentary,2019-07-24,114,7.1,English
The White Tiger,Drama,2021-01-22,125,7.1,English
American Murder: The Family Next Door,Documentary,2020-09-30,82,7.2,English
Fyre: The Greatest Party That Never Happened,Documentary,2019-01-18,97,7.2,English
LA Originals,Documentary,2020-04-10,92,7.2,English
The 40-Year-Old Version,Comedy,2020-10-09,124,7.2,English
The Disciple,Drama,2021-04-30,129,7.2,Marathi
The Edge of Democracy,Documentary,2019-06-19,121,7.2,Portuguese
Father Soldier Son,Documentary,2020-07-17,100,7.3,English
I'm No Longer Here,Drama,2020-05-27,105,7.3,Spanish
Raat Akeli Hai,Thriller,2020-07-31,149,7.3,Hindi
ReMastered: The Two Killings of Sam Cooke,Documentary,2019-02-08,64,7.3,English
American Factory,Documentary,2019-08-21,110,7.4,English
Fire in Paradise,Documentary,2019-11-01,39,7.4,English
Miss Americana,Documentary,2020-01-31,85,7.4,English
The Black Godfather,Documentary,2019-06-07,118,7.4,English
The Speed Cubers,Documentary,2020-07-29,40,7.4,English
Blackpink: Light Up the Sky,Documentary,2020-10-14,79,7.5,Korean
Dick Johnson Is Dead,Documentary,2020-10-02,90,7.5,English
Homecoming: A Film by Beyonce ,Documentary,2019-04-17,137,7.5,English
Athlete A,Documentary,2020-06-24,104,7.6,English
Rolling Thunder Revue: A bob Dylan Story by Martin Scorsere,Documentary,2019-06-12,144,7.6,English
Tell Me Who I Am,Documentary,2019-10-18,85,7.6,English
The Social Dilemma,Documentary,2020-09-09,94,7.6,English
The Two Popes,Drama,2019-12-20,125,7.6,English
Yeh Ballet,Drama,2020-02-21,117,7.6,Hindi
Brene Brown: The Call to Courage,Documentary,2019-04-19,76,7.7,English
Crip Camp: A Disability Revolution,Documentary,2020-03-25,108,7.7,English
The Trial of the Chicago 7,Drama,2020-10-16,130,7.8,English
A Secret Love,Documentary,2020-04-29,82,7.9,English
Marriage Story,Drama,2019-12-06,136,7.9,English
My Octopus Teacher,Documentary,2020-09-07,85,8.1,English
Rising Phoenix,Documentary,2020-08-26,106,8.1,English
Disclosure: Trans Lives on Screen,Documentary,2020-06-19,107,8.2,English
Seaspiracy,Documentary,2021-03-24,89,8.2,English
The Three Deaths of Marisela Escobedo,Documentary,2020-10-14,109,8.2,Spanish
Dancing with the Birds,Documentary,2019-10-23,51,8.3,English
Emicida: AmarElo - It's All For Yesterday,Documentary,2020-12-08,89,8.6,Portuguese
David Attenborough: A Life on Our Planet,Documentary,2020-10-04,83,9.0,English
